                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.56972,                 1.0988,                0.46537,                 1.0229,                0.94187,                0.87162,                 0.8926,                 0.8065,                0.92313,                0.85368,                0.86473,                0.70601,                0.44946,                0.85108,                0.38379,                0.84022,               0.007129,               0.007129,               0.007129
                     90,                0.56562,                 1.1014,                0.46066,                 1.0227,                0.94158,                0.87108,                0.89297,                0.80657,                 0.9228,                0.85308,                0.86471,                0.70612,                0.44902,                0.85062,                0.38329,                 0.8397,               0.007096,               0.007096,               0.007096
                     91,                0.56235,                 1.0931,                0.45795,                 1.0188,                0.94161,                0.87164,                0.89297,                0.80691,                0.92279,                0.85447,                0.86441,                0.70639,                0.44847,                 0.8497,                0.38284,                0.83889,               0.007063,               0.007063,               0.007063
                     92,                0.56072,                 1.0804,                0.45244,                 1.0155,                0.94119,                0.87163,                  0.893,                0.80683,                0.92209,                0.85357,                0.86458,                0.70651,                0.44792,                 0.8483,                0.38295,                0.83843,                0.00703,                0.00703,                0.00703
                     93,                0.56566,                  1.091,                0.46046,                 1.0166,                0.94151,                0.87178,                0.89285,                0.80721,                0.92221,                0.85318,                0.86447,                0.70718,                0.44738,                0.84734,                0.38233,                0.83802,               0.006997,               0.006997,               0.006997
                     94,                0.56245,                 1.0927,                0.45808,                 1.0148,                0.94214,                0.87126,                0.89305,                 0.8071,                  0.923,                0.85314,                0.86451,                0.70762,                0.44672,                0.84649,                0.38137,                0.83757,               0.006964,               0.006964,               0.006964
                     95,                0.56184,                 1.0983,                0.45612,                 1.0158,                0.94175,                0.87206,                0.89333,                0.80744,                0.92266,                0.85366,                0.86464,                0.70827,                0.44587,                0.84592,                0.38083,                0.83676,               0.006931,               0.006931,               0.006931
                     96,                0.55484,                 1.0791,                 0.4502,                 1.0138,                0.94182,                0.87282,                0.89352,                0.80732,                0.92377,                0.85511,                0.86502,                0.70825,                0.44514,                0.84534,                   0.38,                 0.8364,               0.006898,               0.006898,               0.006898
                     97,                0.55724,                 1.0743,                0.45292,                 1.0143,                0.94217,                0.87285,                 0.8938,                0.80775,                0.92426,                0.85532,                0.86536,                0.70769,                 0.4447,                0.84454,                0.37915,                0.83602,               0.006865,               0.006865,               0.006865
                     98,                0.55068,                 1.0681,                0.44684,                 1.0112,                0.94242,                0.87291,                0.89397,                0.80804,                0.92456,                0.85566,                 0.8658,                 0.7084,                0.44421,                0.84366,                0.37859,                0.83568,               0.006832,               0.006832,               0.006832
